rep,mean_abs_r,h1_count,h1_entropy,h1_total_persistence,h1_mean_lifetime,h1_max_lifetime,max_betti1
138,0.36321200333425957,27,2.744670584442332,1.0973602682352066,0.040642972897600244,0.19394272565841675,8
139,0.39297640694848435,28,3.0057624721475507,1.5751042068004608,0.05625372167144503,0.1541539430618286,14
140,0.353139057614457,36,3.1920429819540512,1.3771046698093414,0.038252907494703926,0.13120311498641968,11
141,0.37301500768497586,40,3.257922175538478,1.6591274440288544,0.04147818610072136,0.1809946894645691,16
142,0.3759542031717672,31,3.0735614455363374,1.3397612571716309,0.04321810507005261,0.15793275833129883,8
143,0.3727437297983618,37,3.212003727122449,1.7546542137861252,0.047423086859084466,0.14581823348999023,13
144,0.35498220321397306,33,3.0654350607625127,1.8406225070357323,0.0557764396071434,0.2022228240966797,14
145,0.35349298855870653,43,3.4445706663286417,2.015059545636177,0.046861849898515745,0.15509861707687378,13
146,0.37027261494458036,35,3.1564337893118086,1.7255826890468597,0.04930236254419599,0.1902247667312622,15
147,0.38752517401106507,27,2.862845132796633,1.205279178917408,0.04463996958953363,0.18455129861831665,8
148,0.3977420943229661,38,3.2894299312128155,1.5222563222050667,0.04005937690013334,0.1416504979133606,17
149,0.3979535454644576,35,3.111806344644004,1.373270332813263,0.03923629522323609,0.1699916124343872,12
150,0.3561417552695721,27,2.9422202607699677,1.1194777488708496,0.0414621388470685,0.1405390501022339,7
151,0.3310596838485457,45,3.4340072141722007,1.9550418928265572,0.043445375396145715,0.13932031393051147,12
152,0.3807344163814844,38,3.3168370065042017,1.6744651719927788,0.04406487294717839,0.1595999002456665,16
153,0.36438680224112896,37,3.308170903926737,1.537315957248211,0.04154907992562732,0.13720476627349854,9
154,0.33059283345233037,43,3.3598282502624204,1.8161156699061394,0.04223524813735208,0.20416784286499023,14
155,0.3645088122228046,41,3.3718709115988004,1.9951098039746284,0.0486612147310885,0.19099748134613037,16
156,0.3518227637072184,41,3.385387869377694,1.758488580584526,0.04288996538011039,0.12164491415023804,17
157,0.39340331878405044,29,3.0247195623426606,1.7877187058329582,0.06164547261492959,0.21817171573638916,13
158,0.3499341237544889,39,3.1769114673058243,1.4825228974223137,0.03801340762621317,0.1626562476158142,13
159,0.3606225533815652,48,3.463377041654234,1.9188665002584457,0.03997638542205095,0.1536538004875183,14
160,0.3517594198107069,32,3.148360562087,1.308141216635704,0.04087941301986575,0.1070297360420227,9
161,0.3666276321481706,34,3.1945237838971576,1.4742984622716904,0.04336171947857913,0.1594887375831604,11
162,0.3822271833596535,36,3.18726865292599,1.7227007560431957,0.04785279877897766,0.16649073362350464,13
163,0.3523058620362196,46,3.563890109953019,2.3129202276468277,0.05028087451406147,0.17693805694580078,20
164,0.33556826614987995,50,3.580007529986323,2.7124756425619125,0.05424951285123825,0.15137535333633423,18
165,0.3459099222357829,38,3.235492182607993,1.6238954216241837,0.042734090042741674,0.14993053674697876,12
166,0.3400413089430609,40,3.340126212770449,1.7433175146579742,0.04358293786644936,0.17877185344696045,15
167,0.35303271654221824,34,3.105139595427443,1.6646845862269402,0.048961311359615886,0.23128646612167358,11
168,0.35913293425388915,34,3.17709470211426,1.7446512207388878,0.05131327119820258,0.1680467128753662,15
169,0.35173752554331206,37,3.242525433734118,1.6425673589110374,0.04439371240300101,0.1393720507621765,14
170,0.36527008205514194,34,3.1622832390799878,1.4406224638223648,0.042371248935951907,0.13842737674713135,15
171,0.3551315238761823,43,3.351781933220507,1.6663516759872437,0.038752364557842874,0.1658238172531128,14
172,0.37319055998474915,39,3.249924297565447,2.080246664583683,0.05333965806624828,0.19078052043914795,13
173,0.3706327882921065,33,3.33192331200802,1.6910808384418488,0.05124487389217724,0.11836624145507812,16
174,0.36804942301131477,32,3.224734655526046,1.5992776453495026,0.049977426417171955,0.1281467080116272,10
175,0.38622491831415906,34,3.088521765646416,1.5957213193178177,0.04693297997993581,0.17743819952011108,13
176,0.3623078140552405,40,3.3075595714470762,2.1197554990649223,0.05299388747662306,0.2133370041847229,17
177,0.3796863052676377,42,3.3375888936462577,1.816281996667385,0.04324480944446155,0.16410112380981445,17
178,0.34642573007269956,34,3.212781171889604,1.9141984432935715,0.056299954214516806,0.15093082189559937,11
179,0.3711212151054618,28,2.99129505535416,1.3084188625216484,0.04672924509005887,0.14003890752792358,8
180,0.38361642298669474,38,3.270264213247095,1.230897270143032,0.032392033424816634,0.113253653049469,13
181,0.3701902075471036,40,3.3615783546182385,1.998277448117733,0.04995693620294332,0.13592666387557983,11
182,0.3541800289109845,44,3.4384447970081684,1.801945075392723,0.040953297168016434,0.12153375148773193,11
183,0.36535514436147887,35,2.9291326396282473,1.3962210416793823,0.039892029762268064,0.18949705362319946,11
184,0.3627026494701412,35,3.1934101130113044,1.8128926008939743,0.05179693145411355,0.13620448112487793,17
185,0.36409299699986997,37,3.1395278217527265,1.4808002710342407,0.04002162894687137,0.17432624101638794,8
186,0.36929081917973,39,3.342497232311816,1.8668519854545593,0.047867999627039984,0.17393720149993896,14
187,0.3913904530442705,37,3.176342138498743,1.859794244170189,0.050264709301897,0.15332037210464478,10
188,0.37846761193909095,36,3.2825599568483406,1.978437788784504,0.054956605244013995,0.18066632747650146,13
