rep,taxa,d_h1_count,d_h1_entropy,d_h1_total_persistence,d_h1_mean_lifetime,d_h1_max_lifetime,d_max_betti1,p_h1_count,p_h1_entropy,p_h1_total_persistence,p_h1_mean_lifetime,p_h1_max_lifetime,p_max_betti1,delta_h1_count,delta_h1_entropy,delta_h1_total_persistence,delta_h1_mean_lifetime,delta_h1_max_lifetime,delta_max_betti1
159,paper_taxa,-0.834,-0.6872,-1.4427,-1.0065,-0.921,-0.5799,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-4.425,-0.1058,-0.4784,-0.0067,-0.0298,-1.615
160,paper_taxa,0.7756,0.9643,-0.12,-1.006,-1.1504,0.4917,0.001996,0.001996,0.241517,0.001996,0.001996,0.001996,4.11,0.1615,-0.0414,-0.0071,-0.0372,1.42
161,paper_taxa,0.3428,0.5312,-0.7791,-1.4417,-1.3244,-0.58,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,1.68,0.0841,-0.2783,-0.0105,-0.0437,-1.695
162,paper_taxa,-0.9706,-0.9604,-1.3232,-0.8558,-0.645,-0.7808,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-5.01,-0.1449,-0.4944,-0.0063,-0.0225,-2.365
163,paper_taxa,0.426,0.4622,-0.2558,-0.7528,-0.6553,-0.0915,0.001996,0.001996,0.011976,0.001996,0.001996,0.357285,2.21,0.0728,-0.0893,-0.0055,-0.0209,-0.28
164,paper_taxa,0.4921,0.4969,-0.7196,-1.5067,-0.9583,-0.3967,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,2.63,0.0786,-0.2432,-0.0104,-0.0308,-1.16
165,paper_taxa,-0.2312,-0.3044,-0.8286,-0.8727,-0.6411,0.5669,0.023952,0.001996,0.001996,0.001996,0.001996,0.001996,-1.235,-0.0474,-0.2993,-0.0064,-0.0202,1.62
166,paper_taxa,-1.904,-1.6696,-2.3548,-1.2893,-1.1754,-1.5461,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-9.84,-0.2727,-0.841,-0.0089,-0.0356,-4.8
167,paper_taxa,-0.6024,-0.5842,-1.4261,-1.2515,-0.9949,-0.293,0.001996,0.001996,0.001996,0.001996,0.001996,0.005988,-3.18,-0.0889,-0.4823,-0.0086,-0.0316,-0.87
168,paper_taxa,0.0749,0.1698,-0.7121,-1.0448,-0.9956,-0.1042,0.42515,0.073852,0.001996,0.001996,0.001996,0.331337,0.385,0.0296,-0.2509,-0.0078,-0.0347,-0.305
169,paper_taxa,-0.0618,-0.0642,-1.1824,-1.5681,-0.8618,-1.0133,0.556886,0.540918,0.001996,0.001996,0.001996,0.001996,-0.315,-0.0104,-0.4131,-0.0111,-0.0257,-3.185
170,paper_taxa,-1.2071,-1.1418,-1.6778,-0.9477,-0.8013,-0.6732,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-6.31,-0.1763,-0.5466,-0.006,-0.0266,-2.015
171,paper_taxa,-1.4919,-1.4137,-2.4417,-1.3355,-0.8659,-1.805,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-8.075,-0.2184,-0.749,-0.009,-0.0282,-5.725
172,paper_taxa,-0.741,-0.7345,-1.5859,-1.346,-0.8219,-0.6626,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-3.85,-0.1114,-0.5559,-0.0094,-0.0275,-2.095
173,paper_taxa,0.589,0.6882,-0.5242,-1.3462,-1.1954,-0.0276,0.001996,0.001996,0.001996,0.001996,0.001996,0.802395,3.08,0.1146,-0.1853,-0.0099,-0.0388,-0.085
174,paper_taxa,-1.0353,-1.0756,-1.3747,-0.8931,-0.6958,-0.5901,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-5.57,-0.1757,-0.5076,-0.0061,-0.0215,-1.765
175,paper_taxa,0.1421,0.4112,-0.4667,-0.7844,-1.3404,0.6653,0.193613,0.001996,0.001996,0.001996,0.001996,0.001996,0.745,0.0676,-0.1651,-0.0056,-0.0466,2.05
176,paper_taxa,-0.3774,-0.417,-0.6507,-0.5094,-0.3169,-0.0849,0.001996,0.001996,0.001996,0.001996,0.001996,0.37525,-1.955,-0.0631,-0.2171,-0.0033,-0.0097,-0.255
177,paper_taxa,-0.2514,-0.2285,-0.6716,-0.6208,-0.4761,0.368,0.00998,0.025948,0.001996,0.001996,0.001996,0.001996,-1.28,-0.0354,-0.227,-0.0043,-0.0154,1.09
178,paper_taxa,-0.2534,-0.2559,-0.6989,-0.678,-0.3729,-0.1991,0.007984,0.013972,0.001996,0.001996,0.001996,0.063872,-1.325,-0.0402,-0.2412,-0.0048,-0.0121,-0.62
179,paper_taxa,-0.4346,-0.4396,-1.0285,-0.9199,-0.6263,-0.4585,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-2.275,-0.0679,-0.3426,-0.0061,-0.02,-1.435
180,paper_taxa,0.14,0.2126,-0.559,-0.862,-0.8876,0.0968,0.145709,0.037924,0.001996,0.001996,0.001996,0.303393,0.725,0.034,-0.1862,-0.0062,-0.0296,0.285
181,paper_taxa,-0.1074,-0.0844,-0.458,-0.4767,-0.231,-0.2306,0.291417,0.433134,0.001996,0.001996,0.023952,0.021956,-0.6,-0.0142,-0.1634,-0.0034,-0.0077,-0.665
182,paper_taxa,0.1545,0.1245,-0.5076,-0.8548,-0.4344,-0.5897,0.143713,0.219561,0.001996,0.001996,0.001996,0.001996,0.825,0.0211,-0.184,-0.0063,-0.014,-1.915
183,paper_taxa,-0.1507,-0.105,-0.4833,-0.536,-0.4522,0.3298,0.10978,0.315369,0.001996,0.001996,0.001996,0.005988,-0.805,-0.0178,-0.1795,-0.0037,-0.0158,1.015
184,paper_taxa,-0.8603,-0.6927,-1.3223,-0.9396,-1.1928,-0.4758,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-5.04,-0.1163,-0.4902,-0.0061,-0.0407,-1.55
185,paper_taxa,1.1321,1.1171,0.3866,-0.686,-0.6821,1.1139,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,5.91,0.1842,0.1303,-0.0047,-0.0252,3.24
186,paper_taxa,0.7095,0.8155,-0.1097,-0.9501,-0.924,0.6012,0.001996,0.001996,0.245509,0.001996,0.001996,0.001996,3.735,0.1352,-0.0378,-0.0065,-0.0312,1.78
187,paper_taxa,0.5568,0.6321,0.173,-0.3782,-0.7601,0.89,0.001996,0.001996,0.077844,0.001996,0.001996,0.001996,2.99,0.1117,0.0598,-0.0025,-0.025,2.715
188,paper_taxa,0.8907,0.8479,-0.3305,-1.3299,-1.0277,0.4451,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,4.67,0.1384,-0.1146,-0.01,-0.0322,1.365
189,paper_taxa,-0.1642,-0.2125,-0.7976,-0.9444,-0.4993,-0.4137,0.093812,0.035928,0.001996,0.001996,0.001996,0.001996,-0.875,-0.0348,-0.2777,-0.0065,-0.0146,-1.325
190,paper_taxa,-0.1058,-0.0346,-1.2526,-1.5748,-1.222,-0.3496,0.291417,0.724551,0.001996,0.001996,0.001996,0.001996,-0.57,-0.0056,-0.4444,-0.0114,-0.0415,-1.125
191,paper_taxa,-0.8173,-0.7766,-1.0962,-0.6734,-0.7763,-0.0741,0.001996,0.001996,0.001996,0.001996,0.001996,0.477046,-4.43,-0.1244,-0.4013,-0.0046,-0.0256,-0.235
192,paper_taxa,-1.6052,-1.5674,-2.0453,-1.143,-0.6832,-1.4108,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-8.865,-0.2613,-0.7386,-0.0078,-0.0215,-4.765
193,paper_taxa,-0.0425,0.0985,-0.6149,-0.8148,-1.0569,0.2306,0.676647,0.327345,0.001996,0.001996,0.001996,0.02994,-0.25,0.017,-0.2393,-0.0059,-0.0372,0.725
194,paper_taxa,-1.3591,-1.2498,-2.0921,-1.3773,-1.2254,-1.1555,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-7.365,-0.1971,-0.7753,-0.0098,-0.044,-3.735
195,paper_taxa,-1.0935,-0.9578,-1.4737,-0.97,-0.696,-1.2869,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-6.71,-0.1706,-0.5906,-0.0067,-0.0225,-4.35
196,paper_taxa,-1.241,-1.0318,-2.4043,-1.7001,-1.5053,-0.8999,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-6.835,-0.1669,-0.8086,-0.0117,-0.0492,-2.865
197,paper_taxa,-1.3515,-1.2479,-1.777,-1.1279,-0.9894,-0.8866,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-6.725,-0.1912,-0.6352,-0.0079,-0.0316,-2.705
198,paper_taxa,0.8177,0.792,0.504,-0.1392,-0.3416,0.7725,0.001996,0.001996,0.001996,0.143713,0.001996,0.001996,4.19,0.1297,0.1687,-0.0009,-0.0111,2.245
199,paper_taxa,0.3836,0.419,-0.4235,-0.9458,-0.5855,-0.0388,0.001996,0.001996,0.001996,0.001996,0.001996,0.722555,1.95,0.0648,-0.15,-0.0069,-0.0179,-0.11
