rep,taxa,d_h1_count,d_h1_entropy,d_h1_total_persistence,d_h1_mean_lifetime,d_h1_max_lifetime,d_max_betti1,p_h1_count,p_h1_entropy,p_h1_total_persistence,p_h1_mean_lifetime,p_h1_max_lifetime,p_max_betti1,delta_h1_count,delta_h1_entropy,delta_h1_total_persistence,delta_h1_mean_lifetime,delta_h1_max_lifetime,delta_max_betti1
-1,paper_taxa,-0.9552,-0.7297,-1.4578,-0.9632,-1.2289,-0.5177,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-5.355,-0.1194,-0.5203,-0.0066,-0.0385,-1.715
0,paper_taxa,-0.5297,-0.4275,-0.9344,-0.7414,-0.6915,-0.3709,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-2.855,-0.0669,-0.3218,-0.0048,-0.0224,-1.175
1,paper_taxa,-0.5789,-0.4969,-1.2784,-1.0876,-0.7327,-0.7367,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-3.21,-0.084,-0.4452,-0.0075,-0.0227,-2.22
2,paper_taxa,0.213,0.2601,-0.4837,-0.9322,-0.7413,0.0646,0.03992,0.013972,0.001996,0.001996,0.001996,0.552894,1.23,0.0458,-0.1806,-0.0066,-0.0231,0.205
3,paper_taxa,2.1454,2.2288,1.0549,-0.8297,-1.1708,1.8219,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,11.025,0.4115,0.3466,-0.0067,-0.0402,5.11
4,paper_taxa,0.4114,0.4043,-0.3063,-0.7851,-1.0677,0.542,0.001996,0.001996,0.00998,0.001996,0.001996,0.001996,2.07,0.0658,-0.1063,-0.0056,-0.0399,1.615
5,paper_taxa,0.7347,0.8851,-0.3689,-1.3234,-1.3691,0.2642,0.001996,0.001996,0.001996,0.001996,0.001996,0.003992,3.89,0.1422,-0.1269,-0.0095,-0.0483,0.765
6,paper_taxa,-0.4074,-0.3318,-1.1541,-1.1085,-0.9441,-0.4932,0.001996,0.003992,0.001996,0.001996,0.001996,0.001996,-2.065,-0.0514,-0.3943,-0.0077,-0.0303,-1.405
7,paper_taxa,-0.1467,-0.2406,-0.6336,-0.7192,-0.2571,-0.165,0.153693,0.011976,0.001996,0.001996,0.00998,0.103792,-0.745,-0.0374,-0.2172,-0.0052,-0.0084,-0.495
8,paper_taxa,-0.7848,-0.7041,-1.0656,-0.5874,-0.938,0.2706,0.001996,0.001996,0.001996,0.001996,0.001996,0.007984,-4.195,-0.1149,-0.3746,-0.0043,-0.0307,0.735
9,paper_taxa,0.5994,0.6605,-0.3799,-1.1983,-1.2778,0.0034,0.001996,0.001996,0.001996,0.001996,0.001996,0.982036,3.26,0.1084,-0.1319,-0.0084,-0.0408,0.01
10,paper_taxa,-0.3807,-0.2425,-1.1681,-1.1795,-1.1774,-0.3592,0.001996,0.011976,0.001996,0.001996,0.001996,0.001996,-2.135,-0.0415,-0.4104,-0.0083,-0.0399,-1.115
11,paper_taxa,1.0087,1.1734,0.1885,-0.8859,-0.9994,0.7373,0.001996,0.001996,0.047904,0.001996,0.001996,0.001996,5.34,0.2037,0.0613,-0.0059,-0.0305,2.12
12,paper_taxa,0.8426,0.9779,0.4214,-0.2965,-0.6477,0.5256,0.001996,0.001996,0.001996,0.003992,0.001996,0.001996,4.345,0.1538,0.1395,-0.0021,-0.0227,1.515
13,paper_taxa,0.1802,0.244,-0.0698,-0.2588,-0.1901,0.1356,0.081836,0.021956,0.48503,0.017964,0.043912,0.151697,0.95,0.0379,-0.0258,-0.0019,-0.0061,0.41
14,paper_taxa,-0.3872,-0.3716,-1.1648,-1.1758,-0.7875,-0.5106,0.001996,0.003992,0.001996,0.001996,0.001996,0.001996,-2.03,-0.0587,-0.4231,-0.0085,-0.0259,-1.575
15,paper_taxa,0.9797,1.0355,0.3639,-0.5325,-0.5426,0.8309,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,5.025,0.1703,0.1212,-0.0038,-0.018,2.405
16,paper_taxa,0.7732,0.8581,0.1952,-0.6117,-0.978,1.2524,0.001996,0.001996,0.057884,0.001996,0.001996,0.001996,4.225,0.1517,0.0656,-0.0041,-0.0333,3.605
17,paper_taxa,-1.5285,-1.3728,-1.9143,-1.0984,-0.9539,-0.9555,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-8.135,-0.216,-0.6619,-0.0073,-0.0317,-2.845
18,paper_taxa,-0.3105,-0.2056,-0.6164,-0.5721,-0.3131,-0.4239,0.005988,0.02994,0.001996,0.001996,0.007984,0.001996,-1.71,-0.0344,-0.2233,-0.0039,-0.0104,-1.38
19,paper_taxa,0.4984,0.4821,0.0593,-0.402,-0.6201,0.8797,0.001996,0.001996,0.528942,0.001996,0.001996,0.001996,2.585,0.0768,0.0217,-0.003,-0.0201,2.6
20,paper_taxa,0.4996,0.6558,-0.5358,-1.3107,-1.1883,0.011,0.001996,0.001996,0.001996,0.001996,0.001996,0.918164,2.8,0.1148,-0.1836,-0.0093,-0.0396,0.035
21,paper_taxa,-0.1605,-0.261,-0.8174,-0.9541,-0.3678,-0.7841,0.11976,0.021956,0.001996,0.001996,0.001996,0.001996,-0.835,-0.0413,-0.2828,-0.0066,-0.0128,-2.375
22,paper_taxa,-0.7131,-0.6575,-1.4983,-1.3305,-0.923,-1.0385,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-3.815,-0.1007,-0.5358,-0.009,-0.0294,-3.115
23,paper_taxa,-1.1735,-1.1254,-1.7501,-1.1436,-0.786,-0.9979,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-6.175,-0.1689,-0.5945,-0.0075,-0.0245,-2.93
24,paper_taxa,-0.8617,-0.7403,-1.45,-1.0707,-0.9127,-0.7284,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-4.925,-0.1323,-0.5261,-0.0073,-0.0292,-2.19
25,paper_taxa,0.5499,0.5302,-0.342,-1.0823,-0.7107,0.0594,0.001996,0.001996,0.003992,0.001996,0.001996,0.602794,2.805,0.0878,-0.1178,-0.0075,-0.022,0.185
26,paper_taxa,-1.0546,-1.0012,-1.4291,-0.9097,-0.6782,-0.7151,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-5.565,-0.165,-0.5176,-0.0062,-0.0195,-2.27
27,paper_taxa,0.2831,0.4162,-0.5084,-0.9742,-0.9745,0.3728,0.007984,0.001996,0.001996,0.001996,0.001996,0.001996,1.47,0.0671,-0.1721,-0.007,-0.0343,1.045
28,paper_taxa,0.5859,0.5478,-0.3792,-1.1385,-1.0324,0.0256,0.001996,0.001996,0.001996,0.001996,0.001996,0.792415,3.09,0.0964,-0.1332,-0.0084,-0.033,0.075
29,paper_taxa,-0.0351,-0.1041,-0.9174,-1.1704,-0.9889,-0.3721,0.754491,0.303393,0.001996,0.001996,0.001996,0.001996,-0.195,-0.0168,-0.3246,-0.0086,-0.0304,-1.09
30,paper_taxa,-1.2625,-1.2026,-1.6687,-0.904,-0.8456,-0.7113,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-6.65,-0.1885,-0.5736,-0.0062,-0.0277,-2.235
31,paper_taxa,-1.5045,-1.252,-2.5941,-1.911,-1.6048,-1.4385,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-7.905,-0.2045,-0.9296,-0.0134,-0.0497,-4.675
32,paper_taxa,-0.0061,0.1538,-0.7552,-0.9704,-0.9874,-0.1515,0.964072,0.151697,0.001996,0.001996,0.001996,0.131737,-0.03,0.024,-0.2493,-0.0067,-0.0325,-0.47
33,paper_taxa,0.1444,0.2065,-0.355,-0.5923,-0.4903,0.2346,0.11976,0.041916,0.001996,0.001996,0.001996,0.027944,0.785,0.0332,-0.1167,-0.0042,-0.0157,0.69
34,paper_taxa,-0.2185,-0.0529,-1.6607,-1.9162,-1.936,-0.1099,0.01996,0.560878,0.001996,0.001996,0.001996,0.249501,-1.1,-0.0083,-0.5187,-0.0124,-0.0612,-0.305
35,paper_taxa,-0.0367,-0.0043,-0.5648,-0.7426,-0.606,-0.1982,0.736527,0.976048,0.001996,0.001996,0.001996,0.071856,-0.195,-0.0007,-0.2028,-0.0053,-0.0196,-0.625
36,paper_taxa,-0.6971,-0.5383,-1.3351,-1.0785,-1.3954,-0.2368,0.001996,0.001996,0.001996,0.001996,0.001996,0.025948,-4.03,-0.09,-0.4872,-0.0078,-0.047,-0.7
37,paper_taxa,-1.3661,-1.331,-1.7955,-1.0092,-0.8711,-0.8248,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-7.37,-0.2213,-0.6183,-0.0069,-0.0296,-2.545
38,paper_taxa,-1.0074,-0.8414,-1.4433,-1.0411,-1.0513,-0.325,0.001996,0.001996,0.001996,0.001996,0.001996,0.005988,-5.38,-0.1374,-0.5403,-0.007,-0.0374,-1.115
39,paper_taxa,0.4697,0.5383,0.2649,-0.1343,-0.5997,0.9821,0.001996,0.001996,0.021956,0.183633,0.001996,0.001996,2.66,0.1004,0.0966,-0.0009,-0.0207,2.825
40,paper_taxa,0.1203,0.2061,-0.9097,-1.2992,-1.2585,-0.373,0.239521,0.055888,0.001996,0.001996,0.001996,0.001996,0.635,0.0329,-0.3156,-0.0094,-0.0399,-1.175
41,paper_taxa,-1.6383,-1.5554,-2.1908,-1.1822,-1.1011,-1.0586,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-8.25,-0.2346,-0.7188,-0.0078,-0.0373,-3.135
42,paper_taxa,0.0719,0.137,-0.3517,-0.5647,-0.6341,-0.0845,0.407186,0.195609,0.001996,0.001996,0.001996,0.391218,0.375,0.0232,-0.119,-0.004,-0.0211,-0.255
43,paper_taxa,-0.2337,-0.078,-1.1747,-1.3272,-1.2212,-0.623,0.015968,0.431138,0.001996,0.001996,0.001996,0.001996,-1.24,-0.0126,-0.405,-0.0095,-0.0398,-1.815
44,paper_taxa,0.2292,0.4206,-0.568,-1.0916,-1.183,0.3183,0.021956,0.001996,0.001996,0.001996,0.001996,0.005988,1.255,0.0739,-0.2042,-0.0075,-0.0417,0.99
45,paper_taxa,-0.5794,-0.4147,-1.3168,-1.1742,-1.1157,-0.6952,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-2.95,-0.0635,-0.4745,-0.0088,-0.0354,-2.255
46,paper_taxa,-0.225,-0.0596,-0.7174,-0.7314,-1.0576,0.3457,0.031936,0.580838,0.001996,0.001996,0.001996,0.001996,-1.195,-0.0102,-0.2508,-0.005,-0.0371,1.05
47,paper_taxa,0.8535,0.8184,0.1683,-0.7204,-0.802,0.5597,0.001996,0.001996,0.115768,0.001996,0.001996,0.001996,4.78,0.1445,0.062,-0.0053,-0.0249,1.78
48,paper_taxa,-0.3814,-0.3872,-0.643,-0.4903,-0.185,-0.2849,0.001996,0.001996,0.001996,0.001996,0.073852,0.013972,-2.14,-0.0675,-0.2283,-0.0033,-0.006,-0.88
49,paper_taxa,-1.738,-1.6971,-2.088,-1.0666,-0.4599,-1.6925,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-9.57,-0.2797,-0.7383,-0.0067,-0.0148,-5.345
50,paper_taxa,0.8801,0.8479,0.2332,-0.6831,-0.373,0.4369,0.001996,0.001996,0.021956,0.001996,0.001996,0.001996,4.86,0.144,0.0799,-0.0046,-0.0115,1.3
51,paper_taxa,0.1353,0.2765,-0.7869,-1.1912,-1.0577,-0.1171,0.167665,0.017964,0.001996,0.001996,0.001996,0.251497,0.675,0.0432,-0.2603,-0.0082,-0.0337,-0.34
52,paper_taxa,0.1441,0.3287,-0.5402,-0.9491,-0.8096,0.1267,0.177645,0.001996,0.001996,0.001996,0.001996,0.205589,0.795,0.0546,-0.1955,-0.0064,-0.0266,0.37
53,paper_taxa,-0.9488,-1.0452,-1.9673,-1.6445,-0.8974,-1.36,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-4.745,-0.1613,-0.6851,-0.0115,-0.0266,-3.76
54,paper_taxa,-0.0239,0.0975,-0.5583,-0.7413,-0.7069,-0.0016,0.810379,0.309381,0.001996,0.001996,0.001996,1.0,-0.13,0.0167,-0.1976,-0.0053,-0.0232,-0.005
55,paper_taxa,0.3246,0.4056,-0.3816,-0.8726,-0.7675,-0.1194,0.003992,0.001996,0.001996,0.001996,0.001996,0.237525,1.755,0.067,-0.1338,-0.0061,-0.0245,-0.365
56,paper_taxa,1.1789,1.3025,0.4435,-0.6753,-0.9256,1.2192,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,6.53,0.227,0.1565,-0.0051,-0.0322,3.555
57,paper_taxa,0.9006,1.0428,-0.073,-1.0161,-1.8235,1.2923,0.001996,0.001996,0.44511,0.001996,0.001996,0.001996,4.45,0.1631,-0.0238,-0.007,-0.0638,3.695
58,paper_taxa,-0.3259,-0.4682,-1.0679,-1.0479,-0.4071,-0.5593,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-1.775,-0.0757,-0.3472,-0.0071,-0.0137,-1.655
59,paper_taxa,-1.487,-1.5199,-1.8111,-0.7425,-0.7041,-0.8379,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-8.555,-0.2488,-0.6209,-0.0051,-0.0227,-2.535
60,paper_taxa,-0.155,0.0388,-0.6424,-0.7616,-0.8475,0.2036,0.161677,0.736527,0.001996,0.001996,0.001996,0.0499,-0.8,0.0061,-0.252,-0.0056,-0.0283,0.64
61,paper_taxa,0.1705,0.2746,-0.7515,-1.1395,-1.4008,0.5444,0.105788,0.015968,0.001996,0.001996,0.001996,0.001996,0.9,0.0425,-0.2489,-0.0081,-0.0476,1.58
62,paper_taxa,-0.8618,-0.745,-1.3538,-1.0809,-0.7214,-0.6353,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-4.83,-0.1245,-0.5402,-0.0079,-0.0234,-2.195
63,paper_taxa,0.1994,0.3717,-0.4141,-0.8136,-1.1539,0.455,0.06986,0.001996,0.001996,0.001996,0.001996,0.001996,1.055,0.0635,-0.1478,-0.0054,-0.037,1.37
64,paper_taxa,0.1382,0.2134,-0.8001,-1.2263,-1.0633,0.2834,0.197605,0.043912,0.001996,0.001996,0.001996,0.007984,0.75,0.0365,-0.2542,-0.008,-0.0362,0.82
65,paper_taxa,-0.2116,-0.0879,-0.914,-1.1142,-1.1169,-0.0871,0.037924,0.379242,0.001996,0.001996,0.001996,0.367265,-1.2,-0.0159,-0.3529,-0.0083,-0.0403,-0.255
66,paper_taxa,0.4426,0.5991,-0.143,-0.681,-0.8474,0.4385,0.001996,0.001996,0.133733,0.001996,0.001996,0.001996,2.435,0.1002,-0.0478,-0.0048,-0.0272,1.33
67,paper_taxa,0.9251,1.1709,-0.1256,-1.2032,-1.3375,0.5017,0.001996,0.001996,0.199601,0.001996,0.001996,0.001996,4.95,0.1981,-0.0447,-0.0087,-0.0444,1.405
68,paper_taxa,-0.003,0.1486,-0.5817,-0.7516,-1.3179,0.9075,0.994012,0.177645,0.001996,0.001996,0.001996,0.001996,-0.015,0.0232,-0.2007,-0.0054,-0.0499,2.48
69,paper_taxa,0.5023,0.3896,-0.0502,-0.5677,-0.3512,0.4217,0.001996,0.001996,0.62475,0.001996,0.001996,0.001996,2.665,0.0627,-0.0172,-0.0041,-0.0125,1.3
70,paper_taxa,0.0753,0.254,-0.5713,-0.8865,-0.8485,0.3726,0.479042,0.021956,0.001996,0.001996,0.001996,0.001996,0.395,0.042,-0.2148,-0.0065,-0.029,1.135
71,paper_taxa,-0.3612,-0.18,-0.8599,-0.7459,-0.9255,0.1677,0.003992,0.06986,0.001996,0.001996,0.001996,0.093812,-1.83,-0.0286,-0.288,-0.0053,-0.0316,0.5
72,paper_taxa,0.8989,1.1248,-0.4376,-1.4804,-1.4797,0.3082,0.001996,0.001996,0.001996,0.001996,0.001996,0.003992,4.54,0.1831,-0.1439,-0.0106,-0.0552,0.83
73,paper_taxa,-0.0711,0.1712,-0.6119,-0.7473,-1.0155,0.3161,0.45509,0.063872,0.001996,0.001996,0.001996,0.007984,-0.37,0.0266,-0.2128,-0.0054,-0.0349,0.95
74,paper_taxa,0.5706,0.5434,-0.1922,-0.8539,-0.5629,-0.21,0.001996,0.001996,0.067864,0.001996,0.001996,0.047904,2.975,0.0912,-0.0692,-0.0064,-0.0197,-0.655
75,paper_taxa,-0.8026,-0.8497,-1.6897,-1.5144,-0.9291,-1.2616,0.001996,0.001996,0.001996,0.001996,0.001996,0.001996,-4.33,-0.1336,-0.6091,-0.0102,-0.0303,-4.025
